lastLogin,robohashLink,energy,speed,attack,defence,money,level,hp
164,https://robohash.org/Maxagain.png,100,10,5,5,100,1,50
164,https://robohash.org/Maxagain.png,50.0,10,5,5,100,1,50
164,https://robohash.org/Maxagain.png,0.0,10,5,5,100,1,50
164,https://robohash.org/Maxagain.png,0.0,10,5,5,100,1,50
164,https://robohash.org/Maxagain.png,10000,10,5,5,100,1,50
164,https://robohash.org/Maxagain.png,10000,10,5,5,100,1,50
164,https://robohash.org/Maxagain.png,10000,10,5,5,100,1,50
164,https://robohash.org/Maxagain.png,9975.0,10,5,5,125.0,1,50
164,https://robohash.org/Maxagain.png,9950.0,10,5,5,150.0,1,50
