lastLogin,robohashLink,energy,speed,attack,defence,money,level,hp
165,https://robohash.org/herman.png,100,10,5,5,100,1,50
165,https://robohash.org/herman.png,100,10,5,5,100,1,50
165,https://robohash.org/herman.png,100,10.0,6.0,5.0,0.0,1,50
165,https://robohash.org/herman.png,80.0,10.0,6.0,5.0,300.0,2.0,50
165,https://robohash.org/herman.png,60.0,10.0,6.0,5.0,600.0,3.0,50
165,https://robohash.org/herman.png,60.0,10.0,6.0,5.0,600.0,3.0,50
165,https://robohash.org/herman.png,40.0,10.0,6.0,5.0,900.0,4.0,50
165,https://robohash.org/herman.png,20.0,10.0,6.0,5.0,1200.0,5.0,50
165,https://robohash.org/herman.png,0.0,10.0,6.0,5.0,1500.0,6.0,50
